Suburb,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Prelim 2025,Change 23-24,Change 14-24,PA 14-24
SOUTH KINGSVILLE,671000,742000,903000,980000,1000000,859000,992000,1125000,1000000,1240000,1065000,,-14.0,59.0,4.7
SOUTH MELBOURNE,1200000,1310000,1595000,1532500,1465000,1355000,1580000,1710000,1882500,1640000,1532500,^ 1700000,-7.0,28.0,2.5
SOUTH YARRA,1450000,1700000,1890000,2040000,1851000,1850000,2059000,2306000,2070000,2400000,2260000,^ 1472500,-6.0,56.0,4.5
SPOTSWOOD,640000,795000,917500,1027500,1080000,950000,985000,1260000,1255000,1105000,1125000,^ 1415000,2.0,76.0,5.8
SPRINGVALE,530000,629500,685000,750000,780000,746500,785000,855000,886500,870000,850000,833000,-2.0,60.0,4.8
SPRINGVALE SOUTH,475000,562000,630000,720000,720000,679000,725000,800000,810000,810500,850500,773500,5.0,79.0,6.0
ST ALBANS,373500,428000,500000,610000,626500,594000,600000,675000,682000,645000,652000,627500,1.0,75.0,5.7
ST HELENA,623000,711000,800000,893500,910000,905000,930000,1137500,1010000,1175000,1195000,^ 1250000,2.0,92.0,6.7
ST KILDA,1225000,1164000,1305000,1551000,1755000,1600000,1341000,1705500,1710000,1503000,1515000,^ 1255500,1.0,24.0,2.1
ST KILDA EAST,1037500,1382500,1677500,1460000,1620000,1560500,1650000,1840000,1785000,1667500,1690500,^ 1580000,1.0,63.0,5.0
ST KILDA WEST,2235000,2013000,1797000,2380000,1942500,2465000,2630000,3300000,2742500,2855000,1975000,,-31.0,-12.0,-1.2
STRATHMORE,865000,997500,1140000,1230000,1357500,1310000,1360000,1570000,1605000,1416500,1612000,^ 1561500,14.0,86.0,6.4
STRATHMORE HEIGHTS,640000,700000,808000,970000,885000,800000,835000,962500,^ 952500,1056000,972500,,-8.0,52.0,4.3
SUNSHINE,483500,530500,675000,765000,742000,720000,750000,870000,856500,800000,820000,710000,3.0,70.0,5.4
SUNSHINE NORTH,425500,495000,560000,653000,673500,647000,689500,710000,750000,724500,750000,690000,4.0,76.0,5.8
SUNSHINE WEST,395000,450000,520000,639000,635000,635000,657000,740000,750000,700000,685000,680000,-2.0,73.0,5.7
SURREY HILLS,1450000,1750000,1800500,2170000,1900000,1890000,1880000,2310000,2283000,2402500,2271000,^ 2770000,-5.0,57.0,4.6
SYDENHAM,415000,440000,505000,590000,615000,591500,635000,690000,697500,741500,704000,708500,-5.0,70.0,5.4
TARNEIT,395000,400000,445000,515000,570000,550000,570000,601500,650000,652000,650000,650000,0.0,65.0,5.1
TAYLORS LAKES,510000,561500,635000,720000,763500,750000,777500,883500,936000,922500,945000,910000,2.0,85.0,6.4
TECOMA,478000,510000,601500,709000,700000,662500,742500,920000,837500,838000,865000,^ 900000,3.0,81.0,6.1
TEMPLESTOWE,951500,1180000,1260000,1415000,1308000,1292500,1381500,1603000,1628500,1695000,1650000,^ 1700000,-3.0,73.0,5.7
TEMPLESTOWE LOWER,830000,1060000,1105500,1302000,1150000,1080000,1189000,1432500,1390000,1410000,1362000,1220000,-3.0,64.0,5.1
THE BASIN,463500,550000,595000,610000,682500,695000,739000,875000,864000,850000,881000,^ 831000,4.0,90.0,6.6
THORNBURY,841000,918000,1079500,1230000,1137500,1150000,1252500,1500000,1455000,1410000,1430000,1380000,1.0,70.0,5.5
TOORAK,3391000,4000000,4900000,5100000,4700000,4600000,5500000,6340000,6230000,6629000,6060000,^ 3100000,-9.0,79.0,6.0
TRAVANCORE,848000,,,,1475000,,,,,,,,65.0,114.0,7.9
TRUGANINA,390000,,,,570000,,,,,,,,0.0,67.0,5.2
TULLAMARINE,412000,,,,665500,,,,,,,,3.0,79.0,6.0
UPPER FERNTREE GULLY,500000,,,,700000,,,,,,,,0.0,70.0,5.4
UPWEY,476000,,,,710000,,,,,,,,-2.0,81.0,6.1
VERMONT,725000,,,,980000,,,,,,,,4.0,78.0,5.9
VERMONT SOUTH,815000,,,,1150000,,,,,,,,-2.0,82.0,6.2
VIEWBANK,725000,,,,933000,,,,,,,,0.0,66.0,5.2
WANTIRNA,667500,,,,906500,,,,,,,,-6.0,63.0,5.0
WANTIRNA SOUTH,676500,,,,1000000,,,,,,,,-5.0,87.0,6.5
WARRANDYTE,760000,,,,1110000,,,,,,,,7.0,79.0,6.0
WARRANWOOD,665000,,,,1010000,,,,,,,,13.0,103.0,7.3
WATERWAYS,845000,902000,1050000,,1110000,1285000,1408000,1445000        1600000,,1704500,1495000,,-12.0,77.0,5.9
WATSONIA,555000,607500,698000,,795000,736000,790000,980000          908500,,875500,1000500,,14.0,80.0,6.1
WATSONIA NORTH,572500,635000,702500,,770000,726500,795000,962500          897500,,930000,925000,,-1.0,62.0,4.9
WERRIBEE,315000,335000,403000,,510000,500000,515500,570000          610000,,610000,615000,,1.0,95.0,6.9
WERRIBEE SOUTH,585000,680000,540000,,735000,744500,650000,822500          880000,,930000,862500,,-7.0,47.0,4.0
WEST FOOTSCRAY,637500,697000,798000,,875000,785000,835000,1051500          960000,,915000,927500,,1.0,45.0,3.8
WEST MELBOURNE,916000,1005000,1104500,,1370000,1017500,1215000,1290000        1387500,,1215000,1231000,,1.0,34.0,3.0
WHEELERS HILL,805000,999000,1050000,,1118500,1010000,1173500,1371000        1450000,,1510000,1400000,,-7.0,74.0,5.7
WILLIAMS LANDING,450000,510000,530000,,685000,657000,680000,760000          795000,,799500,797500,,0.0,77.0,5.9
WILLIAMSTOWN,970000,1120000,1282500,,1415000,1350000,1402500,1585000        1647500,,1605000,1597500,,0.0,65.0,5.1
WILLIAMSTOWN NORTH,803500,862500,1135500,,880000,965000,905000,1250000        1130000,,1287500,1300000,,1.0,62.0,4.9
WINDSOR,956500,1094000,1505000,,1422500,1350000,1350000,1645000        1650000,,1500000,1432500,,-5.0,50.0,4.1
WONGA PARK,673500,735000,801000,962500,1150000,1102000,1077500,1248000,1415000,1265000,1330000,^ 1440000,5.0,97.0,7.0
WYNDHAM VALE,306000,325000,365000,435500,474000,460500,480000,525000,580000,583000,585000,563000,0.0,91.0,6.7
YALLAMBIE,579500,665000,713500,781000,810000,792500,832500,990000,1023000,942000,1032500,^ 1150000,10.0,78.0,5.9
YARRAVILLE,710000,810000,900500,1000000,1045000,971000,1030000,1185000,1210000,1100000,1146500,975000,4.0,61.0,4.9
